Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Fluorescence,Polish Grade,Symmetry Grade,Depth (%),Table,Girdle,Culet,Width,Height,Depth,Grading Lab,Grading Certificate ID,Grading Link,Origin,360 Video Link
Brilliant Earth,18348115A,https://www.brilliantearth.com/loose-diamonds/view_detail/76565803/,240,Round,0.27,I,Very Good,SI2,None,Very Good,Good,58.7,64,"Medium - Slightly Thick, Faceted",None,4.23,4.22,2.48,GIA,6492599129,https://www.gia.edu/report-check?reportno=6492599129,Mined,
Brilliant Earth,18348310A,https://www.brilliantearth.com/loose-diamonds/view_detail/76566140/,250,Round,0.3,I,Good,SI2,None,Very Good,Excellent,65.4,58,"Thick - Very Thick, Faceted",None,4.15,4.12,2.71,GIA,6395874203,https://www.gia.edu/report-check?reportno=6395874203,Mined,
Brilliant Earth,18348284A,https://www.brilliantearth.com/loose-diamonds/view_detail/76569232/,250,Round,0.3,I,Good,SI2,None,Excellent,Excellent,65.8,57,"Thick - Very Thick, Faceted",None,4.14,4.11,2.71,GIA,2494616879,https://www.gia.edu/report-check?reportno=2494616879,Mined,
Brilliant Earth,18470532Y,https://www.brilliantearth.com/loose-diamonds/view_detail/76834466/,260,Emerald,0.32,J,Ideal,VS2,Faint,Very Good,Very Good,64.4,67,Slightly Thick - Thick,,4.89,3.25,2.1,GIA,2527803353,https://www.gia.edu/report-check?reportno=2527803353,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=2527803353&surl=//image.brilliantearth.com/media/v360/&version=12
Brilliant Earth,18007525Y,https://www.brilliantearth.com/loose-diamonds/view_detail/75598821/,260,Emerald,0.3,I,Ideal,SI1,None,Excellent,Very Good,69.1,64,Thick,None,4.26,3.21,2.22,GIA,1513747724,https://www.gia.edu/report-check?reportno=1513747724,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=1513747724&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,18007459Y,https://www.brilliantearth.com/loose-diamonds/view_detail/75593931/,260,Emerald,0.3,F,Ideal,SI2,None,Excellent,Very Good,66.6,70,Slightly Thick - Thick,None,4.25,3.23,2.15,GIA,1513679565,https://www.gia.edu/report-check?reportno=1513679565,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=1513679565&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,13826099Y,https://www.brilliantearth.com/loose-diamonds/view_detail/50987898/,260,Emerald,0.3,I,Ideal,SI1,None,Excellent,Very Good,65.4,68,Slightly Thick - Thick,None,4.42,3.32,2.18,GIA,6512167136,https://www.gia.edu/report-check?reportno=6512167136,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6512167136&surl=//image.brilliantearth.com/media/v360/&version=18
Brilliant Earth,18470558Y,https://www.brilliantearth.com/loose-diamonds/view_detail/76834478/,260,Emerald,0.3,H,Very Good,SI2,None,Good,Very Good,64.3,67,Thick - Very Thick,,4.69,3.2,2.05,GIA,2527833790,https://www.gia.edu/report-check?reportno=2527833790,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=2527833790&surl=//image.brilliantearth.com/media/v360/&version=6
Brilliant Earth,18470523Y,https://www.brilliantearth.com/loose-diamonds/view_detail/76834403/,270,Emerald,0.31,I,Ideal,SI1,None,Very Good,Very Good,65.9,64,Slightly Thick - Thick,,5.03,3.16,2.08,GIA,1538716301,https://www.gia.edu/report-check?reportno=1538716301,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=1538716301&surl=//image.brilliantearth.com/media/v360/&version=6
Brilliant Earth,13824774B,https://www.brilliantearth.com/loose-diamonds/view_detail/50983369/,270,Round,0.3,E,Very Good,SI2,None,Excellent,Very Good,62,63,Slightly Thick - Thick,None,4.28,4.22,2.65,GIA,6492444891,https://www.gia.edu/report-check?reportno=6492444891,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6492444891&surl=//image.brilliantearth.com/media/v360/&version=37
Brilliant Earth,17547536A,https://www.brilliantearth.com/loose-diamonds/view_detail/76512910/,270,Round,0.25,I,Very Good,VVS2,None,Excellent,Excellent,61.7,59,"Med_To_Stk, Faceted",None,4.05,4.02,2.49,GIA,6541309832,https://www.gia.edu/report-check?reportno=6541309832,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6541309832&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,18459022A,https://www.brilliantearth.com/loose-diamonds/view_detail/76782122/,270,Round,0.28,I,Ideal,VS1,Faint,Very Good,Very Good,61.1,58,"Thn_To_Stk, Faceted",None,4.24,4.22,2.58,GIA,2546657918,https://www.gia.edu/report-check?reportno=2546657918,Mined,
Brilliant Earth,18007272Y,https://www.brilliantearth.com/loose-diamonds/view_detail/75593613/,280,Emerald,0.3,F,Ideal,SI1,None,Excellent,Very Good,64.3,69,Thin - Medium,None,4.61,3.33,2.14,GIA,2517627310,https://www.gia.edu/report-check?reportno=2517627310,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=2517627310&surl=//image.brilliantearth.com/media/v360/&version=0
Brilliant Earth,13822077Y,https://www.brilliantearth.com/loose-diamonds/view_detail/50989770/,280,Emerald,0.3,F,Ideal,SI1,None,Excellent,Very Good,71.8,66,Thick - Very Thick,None,4.15,3.19,2.29,GIA,7512251188,https://www.gia.edu/report-check?reportno=7512251188,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=7512251188&surl=//image.brilliantearth.com/media/v360/&version=18
Brilliant Earth,13826699Y,https://www.brilliantearth.com/loose-diamonds/view_detail/50986967/,280,Round,0.37,E,Ideal,SI2,Strong,Very Good,Excellent,61.7,57,Medium - Slightly Thick,None,4.61,4.59,2.84,GIA,6505429478,https://www.gia.edu/report-check?reportno=6505429478,Mined,https://css.brilliantearth.com/static/v360_viewer_zoom_slider/Vision360.html?d=6505429478&surl=//image.brilliantearth.com/media/v360/&version=46
